PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
From 192.168.1.3 icmp_seq=147 Destination Host Unreachable
From 192.168.1.3 icmp_seq=148 Destination Host Unreachable
From 192.168.1.3 icmp_seq=149 Destination Host Unreachable
From 192.168.1.3 icmp_seq=150 Destination Host Unreachable
From 192.168.1.3 icmp_seq=151 Destination Host Unreachable
From 192.168.1.3 icmp_seq=152 Destination Host Unreachable
From 192.168.1.3 icmp_seq=153 Destination Host Unreachable
From 192.168.1.3 icmp_seq=154 Destination Host Unreachable
From 192.168.1.3 icmp_seq=155 Destination Host Unreachable
From 192.168.1.3 icmp_seq=156 Destination Host Unreachable
From 192.168.1.3 icmp_seq=157 Destination Host Unreachable
From 192.168.1.3 icmp_seq=158 Destination Host Unreachable
From 192.168.1.3 icmp_seq=159 Destination Host Unreachable
From 192.168.1.3 icmp_seq=160 Destination Host Unreachable
From 192.168.1.3 icmp_seq=161 Destination Host Unreachable
From 192.168.1.3 icmp_seq=162 Destination Host Unreachable
From 192.168.1.3 icmp_seq=163 Destination Host Unreachable
From 192.168.1.3 icmp_seq=164 Destination Host Unreachable
From 192.168.1.3 icmp_seq=165 Destination Host Unreachable
From 192.168.1.3 icmp_seq=166 Destination Host Unreachable
From 192.168.1.3 icmp_seq=167 Destination Host Unreachable
From 192.168.1.3 icmp_seq=168 Destination Host Unreachable
From 192.168.1.3 icmp_seq=169 Destination Host Unreachable
From 192.168.1.3 icmp_seq=170 Destination Host Unreachable
From 192.168.1.3 icmp_seq=171 Destination Host Unreachable
64 bytes from 192.168.1.2: icmp_seq=172 ttl=64 time=4.40 ms
64 bytes from 192.168.1.2: icmp_seq=173 ttl=64 time=2.36 ms
64 bytes from 192.168.1.2: icmp_seq=174 ttl=64 time=2.35 ms
64 bytes from 192.168.1.2: icmp_seq=175 ttl=64 time=54.8 ms
64 bytes from 192.168.1.2: icmp_seq=176 ttl=64 time=11.6 ms
64 bytes from 192.168.1.2: icmp_seq=177 ttl=64 time=3.57 ms
64 bytes from 192.168.1.2: icmp_seq=178 ttl=64 time=8.80 ms
64 bytes from 192.168.1.2: icmp_seq=179 ttl=64 time=4.49 ms
64 bytes from 192.168.1.2: icmp_seq=180 ttl=64 time=40.10 ms
64 bytes from 192.168.1.2: icmp_seq=181 ttl=64 time=88.8 ms
64 bytes from 192.168.1.2: icmp_seq=182 ttl=64 time=4.30 ms
64 bytes from 192.168.1.2: icmp_seq=183 ttl=64 time=2.15 ms
64 bytes from 192.168.1.2: icmp_seq=184 ttl=64 time=1.73 ms
64 bytes from 192.168.1.2: icmp_seq=185 ttl=64 time=1.68 ms
64 bytes from 192.168.1.2: icmp_seq=186 ttl=64 time=4.06 ms
64 bytes from 192.168.1.2: icmp_seq=187 ttl=64 time=2.10 ms
64 bytes from 192.168.1.2: icmp_seq=188 ttl=64 time=2.82 ms
64 bytes from 192.168.1.2: icmp_seq=189 ttl=64 time=50.5 ms
64 bytes from 192.168.1.2: icmp_seq=190 ttl=64 time=11.0 ms
64 bytes from 192.168.1.2: icmp_seq=191 ttl=64 time=9.22 ms
64 bytes from 192.168.1.2: icmp_seq=192 ttl=64 time=5.20 ms
64 bytes from 192.168.1.2: icmp_seq=193 ttl=64 time=6.71 ms
64 bytes from 192.168.1.2: icmp_seq=194 ttl=64 time=21.9 ms
64 bytes from 192.168.1.2: icmp_seq=195 ttl=64 time=44.4 ms
64 bytes from 192.168.1.2: icmp_seq=196 ttl=64 time=4.64 ms
64 bytes from 192.168.1.2: icmp_seq=197 ttl=64 time=8.60 ms
64 bytes from 192.168.1.2: icmp_seq=198 ttl=64 time=2.54 ms
64 bytes from 192.168.1.2: icmp_seq=199 ttl=64 time=1.71 ms
64 bytes from 192.168.1.2: icmp_seq=200 ttl=64 time=1.67 ms
64 bytes from 192.168.1.2: icmp_seq=201 ttl=64 time=4.93 ms
64 bytes from 192.168.1.2: icmp_seq=202 ttl=64 time=3.26 ms
64 bytes from 192.168.1.2: icmp_seq=203 ttl=64 time=2.47 ms

--- 192.168.1.2 ping statistics ---
203 packets transmitted, 167 received, +25 errors, 17.734% packet loss, time 504ms
rtt min/avg/max/mdev = 1.638/8.334/113.315/14.482 ms, pipe 4
